; 1 0 0
1 2015 08 15 00 00 0
1 2015 08 15 01 00 0
1 2015 08 15 02 00 0
1 2015 08 15 03 00 0
1 2015 08 15 04 00 0
1 2015 08 15 05 00 0
1 2015 08 15 06 00 0
1 2015 08 15 07 00 0.07
1 2015 08 15 08 00 0.01
1 2015 08 15 09 00 0.27
1 2015 08 15 10 00 0
1 2015 08 15 11 00 0
1 2015 08 15 12 00 0
1 2015 08 15 13 00 0
1 2015 08 15 14 00 0
1 2015 08 15 15 00 0
1 2015 08 15 16 00 0
1 2015 08 15 17 00 0
1 2015 08 15 18 00 0
1 2015 08 15 19 00 0
1 2015 08 15 20 00 0.11
1 2015 08 15 21 00 0.04
1 2015 08 15 22 00 0
1 2015 08 15 23 00 0
